specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
1849903352574404608,1237662662132302001,0.1551187,1.78389E-05,19.36117,18.10366,17.35106,16.92678,16.70731,0.07225283,0.01081951,0.008829615,0.009291003,0.02695242
2235080697435940864,1237662226217763001,0.2715993,4.918709E-05,20.86806,19.33608,17.86145,17.29713,16.95091,0.1770387,0.01867344,0.008630802,0.008027283,0.01875732
2391441152197814272,1237665548888703001,0.1041781,1.890927E-05,18.43808,16.43949,15.43154,14.97649,14.61434,0.03487239,0.003932036,0.002891078,0.002803755,0.00549137
2413988837148616704,1237665548355830001,0.1691809,3.152573E-05,20.45121,18.4029,17.1708,16.66565,16.27004,0.1254617,0.01015619,0.005908129,0.005480908,0.01147774
2490528590655940608,1237667322175947001,0.1415261,2.696487E-05,20.35606,18.35282,17.2358,16.779,16.38528,0.07330918,0.008314977,0.005631784,0.005582416,0.01123287
2500670485960878080,1237667322179748001,0.3676168,7.988282E-05,22.42151,20.29422,18.5715,17.96133,17.56152,0.4724322,0.03491104,0.01388177,0.01284955,0.02991836
2557091649155000320,1237667212653298001,0.05776983,7.875602E-06,19.54415,18.12828,17.44231,17.0278,16.8056,0.04958712,0.007570113,0.006485824,0.00695716,0.01742231
2643651252327573504,1237665367427580001,0.05036134,1.257261E-05,17.71685,16.44695,15.82698,15.46294,15.19774,0.01764713,0.003954962,0.003430983,0.00357022,0.008082244
2795776933961426944,1237668496850682001,0.003163315,6.410442E-06,18.66206,17.9476,17.6347,17.53826,17.38066,0.04181623,0.009290067,0.01035242,0.01483167,0.04756487
2814832850329692160,1237667781755339001,0.06655633,9.354811E-06,19.05591,17.96783,17.57618,17.30275,17.26462,0.05572506,0.01048046,0.01092945,0.01191856,0.03787938
2818293832653760512,1237668496855204001,0.07046882,7.165491E-06,19.03797,17.9339,17.48248,17.18142,17.04137,0.05356814,0.008780614,0.009077614,0.01039029,0.03794442
2988179930308700160,1237667781769298001,0.1696376,3.250606E-05,20.54865,18.47704,17.2447,16.77248,16.4178,0.1561143,0.01186171,0.006724602,0.006397683,0.0139801
3140292696522909696,1237665547818828001,0.1123085,2.57378E-05,20.27331,18.58974,17.67109,17.25078,16.86965,0.08642846,0.01048023,0.007028989,0.0069768,0.015895
3240493663553349632,1237670956787368001,0.1032665,2.148368E-05,20.20677,18.4386,17.52382,17.1159,16.79043,0.1054341,0.01012775,0.007367324,0.007040044,0.01851602
3249509934332667904,1237671931746124001,0.07516462,2.327791E-05,20.81901,18.4788,17.58189,17.12284,16.75309,0.1414542,0.009471539,0.007041971,0.006350587,0.01604685
603539833507309568,1237648705129677001,0.03472417,6.047362E-06,19.07784,18.06951,17.70663,17.49811,17.31405,0.03873235,0.01016943,0.01026861,0.01358198,0.03247955
614878000449611776,1237654391104668001,0.06458911,1.505436E-05,19.73414,17.89415,16.98882,16.55365,16.20632,0.04587064,0.006310207,0.004698419,0.004627921,0.01030392
615996749403678720,1237654391105782001,0.129137,2.74399E-05,21.18922,18.73427,17.61009,17.10624,16.68294,0.1593238,0.01095561,0.006767012,0.006459681,0.01529866
678929772947990528,1237654608534897001,0.2250608,4.758085E-05,21.11852,18.89378,17.44924,16.90778,16.58215,0.1521479,0.01332247,0.006123143,0.005689804,0.01264141
680124942473259008,1237654608535028001,0.07498015,2.189556E-05,19.65383,17.63002,16.65891,16.18114,15.80133,0.04795984,0.006057797,0.004149274,0.00404123,0.007982604
836642899658565632,1237679454919328001,0.06372713,9.265387E-06,20.72743,19.10702,18.15955,17.60411,17.19745,0.1283727,0.01608138,0.009904986,0.008692925,0.0192725
1057343476930209792,1237657627905229001,0.140527,2.5275E-05,18.96026,17.57831,16.786,16.40009,16.06395,0.04548639,0.007500031,0.005542249,0.005913975,0.0143634
1098964386346723328,1237655374651720001,0.1528498,7.68779E-06,19.66227,18.31061,17.5421,17.07374,16.80569,0.04034781,0.007226376,0.00583632,0.005661811,0.01434242
1142914620273485824,1237657591394599001,0.06763288,1.166844E-05,18.67413,17.3698,16.81165,16.45601,16.23867,0.04067201,0.006606482,0.006059344,0.006802152,0.01757962
1144042444745107456,1237658803109757001,0.07853761,8.978633E-06,18.6651,17.38262,16.59658,16.14137,15.89438,0.03845526,0.006382974,0.004980044,0.005036663,0.01224474
1558371142635382784,1237662307803726001,0.09098622,1.968813E-05,19.43601,17.41476,16.4734,16.0498,15.72778,0.03736999,0.004902226,0.003756318,0.003801061,0.007033703
1582047196444911616,1237661465452020001,0.09121714,2.551642E-05,20.17626,18.2113,17.21541,16.76444,16.42325,0.05878932,0.007189545,0.005076169,0.005118757,0.009426838
2059333385519654912,1237655743480136001,0.1869669,2.390006E-05,19.92426,18.61183,17.79969,17.38047,17.08822,0.07663827,0.01145124,0.008687265,0.008645944,0.02506983
2061531876853573632,1237654881815888001,0.09186039,1.85981E-05,18.34996,16.52525,15.59618,15.18042,14.85949,0.0373512,0.004340283,0.003242164,0.003258279,0.006582352
2066034377069979648,1237655742948770001,0.2380887,3.501137E-05,19.87814,18.72562,17.83836,17.3527,17.02732,0.06127581,0.01129992,0.007881112,0.007804611,0.01848865
2066155048471128064,1237662268075934001,0.04143384,4.820415E-06,18.83928,17.99067,17.81807,17.55502,17.60135,0.0411772,0.01280912,0.01942306,0.0235917,0.0598962
2479348752683395072,1237665532262417001,0.4433765,0.0001153219,24.15183,21.29985,19.56104,18.74203,18.22853,2.12634,0.08371487,0.02886335,0.02339652,0.06569919
2901538961363068928,1237671262274716001,0.3083459,8.129424E-05,22.54209,20.34302,18.5849,17.99496,17.58601,0.4928605,0.03256773,0.01151005,0.01017177,0.02102339
3321512553812617216,1237662268077769001,0.03985992,7.272175E-06,19.19501,18.1061,17.7535,17.49447,17.21978,0.09584232,0.00967156,0.01000537,0.01185406,0.03983678
341203773961562112,1237648703516443001,0.1873122,1.820583E-05,19.67895,18.32254,17.56757,17.1371,16.94086,0.06925378,0.01070079,0.008369496,0.008113531,0.02386101
397579035128915968,1237651225171657001,0.0943712,6.882763E-06,18.52548,17.42905,16.91192,16.57451,16.33821,0.02815785,0.005697573,0.005372196,0.005991075,0.01803174
476335680616687616,1237666214606537001,0.3828478,0.0001179026,23.68991,21.09786,19.20147,18.4494,17.97306,1.120935,0.06261139,0.01898864,0.0145914,0.03369367
551841070053353472,1237651539245990001,0.1159862,1.922869E-05,20.7378,18.64202,17.63579,17.20322,16.89029,0.1051794,0.009480302,0.006707331,0.006633329,0.0170613
583296179501033472,1237651752937980001,0.1969096,2.980103E-05,20.45937,18.44304,17.14247,16.64832,16.26919,0.1300253,0.01113226,0.006012857,0.005581678,0.01287623
1007784638652901376,1237657771775951001,0.123332,1.610028E-05,19.97088,18.27802,17.34393,16.90654,16.57715,0.09459463,0.01155708,0.007728574,0.008206939,0.01887423
1014566152501749760,1237657771781587001,0.1403672,2.641655E-05,20.49608,18.53235,17.47304,17.00921,16.67464,0.09161565,0.009590076,0.006133768,0.006359605,0.0136593
1361316386328045568,1237660344467325001,0.1955752,3.606867E-05,21.18581,18.97135,17.66544,17.15688,16.80817,0.1755467,0.01404872,0.007812149,0.007947048,0.01793982
1495210241313236992,1237661386534224001,0.09450661,1.722394E-05,19.10772,17.51025,16.6439,16.22714,15.91141,0.04253002,0.006452899,0.004796305,0.004692845,0.009645208
1505365880144422912,1237665355620549001,0.1471485,2.045206E-05,19.69055,17.82971,16.85295,16.46039,16.14435,0.04377488,0.005852506,0.004231781,0.004143209,0.008415055
1801502300074698752,1237660669819552001,0.08954486,2.734322E-05,18.83898,17.12201,16.23948,15.81607,15.45589,0.04769266,0.006301178,0.004989066,0.005145307,0.0127339
1803708745486723072,1237661811729105001,0.1289342,1.02015E-05,19.66768,18.33691,17.53966,17.08976,16.80788,0.05370804,0.008464377,0.00663389,0.006679059,0.01586107
1920886728768382976,1237662531139404001,0.1395817,3.987781E-05,20.56565,18.70051,17.66279,17.17777,16.84125,0.1086924,0.01090134,0.007040877,0.006960147,0.01586463
1976081386909493248,1237664290997666001,0.1741603,3.087822E-05,20.3327,18.42745,17.17068,16.70482,16.30316,0.09983238,0.00997291,0.006052345,0.005555952,0.01239219
2415209577348884480,1237665101141443001,0.03192664,1.614805E-05,19.01492,17.7704,17.26445,16.9982,16.98019,0.08459768,0.01344549,0.0127631,0.01499442,0.0586988
2909453247183874048,1237671124840481001,0.2506892,3.713159E-05,21.05259,19.21383,17.80017,17.28968,16.93674,0.1323162,0.01585789,0.007567295,0.007336096,0.01450972
2913897473535666176,1237671123768312001,0.06155949,1.948745E-05,18.33491,16.94116,16.37554,16.06149,15.8385,0.02928111,0.005109585,0.004613557,0.00476428,0.01238141
2935328329718327296,1237668624631071001,0.08676992,2.024907E-05,19.59618,17.74753,16.80803,16.40075,16.05918,0.05147681,0.005821518,0.00452793,0.004722294,0.01139434
457233866030082048,1237666339734094001,0.02077963,1.013232E-05,19.20302,17.98611,17.42862,17.15356,17.02191,0.05188525,0.007738518,0.007335563,0.008600099,0.03102729
465097572269189120,1237666302165713001,0.1982894,4.771656E-05,21.65617,18.85871,17.38519,16.81157,16.4476,0.3390411,0.01362273,0.006645503,0.006245434,0.01394915
818630699249592320,1237652939939448001,0.09631584,3.013862E-05,20.40709,18.70048,17.70671,17.24611,16.91614,0.1068277,0.01282408,0.007763333,0.007914968,0.01921132
844565979995334656,1237652943712289001,0.1556416,2.940255E-05,21.12649,18.94017,17.79401,17.3287,16.96746,0.1446898,0.01145909,0.007198441,0.0071863,0.01840865
930015626666207232,1237657630582899001,0.08617463,2.193045E-05,19.73199,17.68044,16.7097,16.23966,15.89265,0.0621935,0.006216038,0.004427412,0.004280411,0.02662517
958254110283425792,1237655126626468001,0.06059213,6.913152E-06,18.45155,17.41884,17.10163,16.83428,16.70084,0.02552964,0.006284917,0.006106332,0.007199561,0.02001691
1306155537229965312,1237659326553850001,0.1305809,2.822412E-05,20.38672,18.36276,17.27865,16.80723,16.45317,0.1070814,0.00968786,0.006089597,0.006323485,0.01332624
1804908587584088064,1237661950782800001,0.08717687,2.658104E-05,19.93025,17.9397,17.03099,16.61414,16.30426,0.06844919,0.007499206,0.005351364,0.005441763,0.01130165
1822950748174968832,1237658424096588001,0.07987586,2.57557E-05,19.51432,17.93405,17.23976,16.87851,16.63403,0.08183807,0.009491614,0.007874222,0.00789292,0.02370847
1927667693347956736,1237662637440762001,0.05633926,8.081032E-06,19.3005,18.00515,17.45069,17.06859,16.79933,0.04237741,0.007201745,0.006692241,0.006769356,0.01920339
2050421838290380800,1237662197750825001,0.04808845,8.780183E-06,18.16105,17.18704,16.70563,16.35816,16.17858,0.01725204,0.004995045,0.004460015,0.004498577,0.009612765
2228234863163500544,1237665329846354001,0.1102277,6.75129E-06,19.02039,17.88674,17.47302,17.19806,17.04639,0.03409772,0.006670822,0.006621681,0.007596747,0.02426307
2240620037704542208,1237665329844519001,0.1057933,2.083804E-05,19.58412,17.56336,16.55821,16.12346,15.75516,0.0648084,0.006549697,0.0046024,0.004626839,0.01061116
2277808825849374720,1237664852564771001,0.07340663,1.807282E-05,19.42207,17.74784,16.93977,16.54605,16.25118,0.04535403,0.006362918,0.005033076,0.00493546,0.01029415
2284538386230306816,1237665329319117001,0.0523361,5.442979E-05,20.40008,18.72152,17.86933,17.48148,17.20307,0.1324893,0.0136702,0.01005341,0.01116245,0.03180645
