specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
1016731911487252480,1237657770710139002,0.07510655,1.824781E-05,19.15371,17.20746,16.25858,15.81028,15.46557,0.0448341,0.005080662,0.003778246,0.003751261,0.008045989
1380510836698671104,1237658493888889002,0.08473538,1.854037E-05,19.12187,17.52289,16.63978,16.17113,15.85438,0.03919955,0.005801459,0.004262676,0.00410091,0.007976229
1470540227566135296,1237660670888575002,0.05366914,6.143165E-06,18.04234,16.88814,16.32175,15.95865,15.74856,0.01699218,0.004156938,0.003846666,0.004221143,0.009581848
1613456673744119808,1237661966885585002,0.1335065,3.729796E-05,21.14952,19.06394,18.01743,24.36174,16.93564,0.1221737,0.01104479,0.007562163,0.9608441,0.01239555
1615709572415121408,1237661966886306002,0.130934,1.887281E-05,19.26029,17.97543,17.39033,17.0707,16.81329,0.0767479,0.01038324,0.009516728,0.009638523,0.02967134
1767823160394147840,1237661463310107002,0.05588444,7.243165E-06,18.547,16.83173,15.97516,15.45639,15.09815,0.02800335,0.004568995,0.003534374,0.003390639,0.006169505
1775695669453940736,1237662641732256002,0.2706824,4.941277E-05,20.88272,19.44724,17.91528,17.30249,16.88634,0.1619782,0.01998164,0.008872973,0.00759232,0.019012
1800385471122008064,1237661064419410002,0.06538841,1.393424E-05,17.53729,15.50843,14.544,14.09154,13.77303,0.01893385,0.002678002,0.00218754,0.00215114,0.003403134
1811660413998229504,1237661949177168002,0.1067287,1.928495E-05,20.12959,18.20521,17.20266,16.79401,16.45482,0.07875475,0.008453464,0.005585596,0.005264737,0.01046161
1908402324510894080,1237661948648227002,0.1558699,4.415034E-05,20.75087,18.83659,17.56459,17.01635,16.62134,0.1546564,0.01420643,0.007246334,0.006055583,0.01223067
1911852586512705536,1237671956440482002,0.1449811,3.077073E-05,20.09676,18.29181,17.35257,16.94097,16.66078,0.06892899,0.008394109,0.006145581,0.006143864,0.01394192
2034563873872308224,1237662236940239002,0.08010866,2.290659E-05,20.06146,18.54976,17.74283,17.37257,17.05737,0.09018516,0.01101252,0.008298793,0.007831521,0.01855418
2079678210366269440,1237664853650506002,0.1449931,1.733659E-05,19.47023,18.18683,17.52187,17.18791,17.09972,0.07798555,0.01072922,0.01157819,0.01335407,0.03750979
2587381820295243776,1237667292656632002,0.1770447,1.94722E-05,19.42748,18.05036,17.19096,16.74636,16.47933,0.04865859,0.007936615,0.005923137,0.00571605,0.01463808
2931875318484461568,1237668589729088002,0.4364272,0.0001150758,23.65937,20.90581,19.16787,18.47882,18.08131,1.691933,0.06677223,0.02415667,0.01959951,0.05362545
592273417567234048,1237651735765582002,0.03636889,1.791074E-05,19.46639,17.77529,17.09306,16.76643,16.49962,0.04730111,0.006536683,0.00544543,0.005506391,0.01325451
592356980450945024,1237651736839455002,0.1608255,2.636685E-05,20.37855,18.73512,17.71695,17.22894,16.90483,0.09375017,0.01071006,0.007198936,0.007064811,0.01967914
596843532849801216,1237651736842535002,0.08561496,6.951667E-06,19.96383,19.04956,18.53404,18.19021,17.98664,0.05799223,0.01189651,0.0110493,0.01232569,0.04200023
601238280339482624,1237651735773053002,0.05438272,7.190772E-06,20.25784,19.20737,18.89634,18.61603,18.78813,0.09442815,0.01646374,0.01796223,0.02128868,0.09120288
602383146855458816,1237651752953119002,0.1351497,9.054393E-06,18.94763,17.79141,17.14173,16.76544,16.5175,0.04657916,0.008397742,0.007036892,0.006899417,0.01812494
1571867647715338240,1237661362913870002,0.08996868,2.525033E-05,20.25756,18.45321,17.48987,17.07644,16.74331,0.07000668,0.008083069,0.005850394,0.006186084,0.01349767
1800363755767359488,1237660669818831002,0.03216284,1.304668E-05,18.86374,17.47282,16.86277,16.55188,16.36546,0.04456607,0.007174807,0.007067438,0.007838795,0.02404548
1907351466255869952,1237661816559436002,0.07350591,1.366128E-05,18.23643,16.4099,15.53441,15.11349,14.79874,0.02160652,0.003501781,0.002872535,0.002846031,0.005042644
2200035137448601600,1237662224593912002,0.2090895,4.81827E-05,20.43827,18.66633,17.46927,17.01758,16.66558,0.1684289,0.01648621,0.009140418,0.008162498,0.02027163
2229347843842271232,1237662224598696002,0.06844281,1.587062E-05,18.72805,16.86518,15.97134,15.56448,15.24559,0.04139232,0.004907887,0.003649577,0.00344265,0.007379331
2257556365062989824,1237664295296762002,0.1504179,3.935178E-05,20.78509,18.80495,17.71817,17.28311,16.94658,0.1111156,0.01080692,0.007292044,0.007033003,0.01793174
2268740328284514304,1237665126934053002,0.3371148,6.591415E-05,22.61997,20.23001,18.46782,17.91788,17.54886,0.6451958,0.03496384,0.01276156,0.01152681,0.02828964
2350927992357677056,1237664294757794002,0.07077321,3.290859E-05,20.38859,18.5271,17.6415,17.24058,16.90613,0.04765709,0.007331701,0.005650119,0.005644272,0.0110699
2370152677939111936,1237664336644604002,0.0355602,6.040998E-06,18.92097,17.90356,17.55613,17.34494,17.179,0.02621952,0.00665554,0.006804534,0.00838592,0.02406989
2388200348553603072,1237664671648121002,0.05422221,1.767085E-05,19.17488,17.63372,16.85074,16.39457,16.04063,0.04995725,0.008518481,0.006275679,0.006804376,0.01650899
2500647671094601728,1237667429034492002,0.03087589,8.174909E-06,18.75216,17.52258,17.07237,16.81266,16.62999,0.02767388,0.006109888,0.005720657,0.006888166,0.01942572
2654938289613596672,1237667210520232002,0.09084556,2.64786E-05,19.87148,18.02196,17.0676,16.61745,16.2823,0.05514303,0.006974933,0.005318573,0.005523427,0.01174361
2804789081068824576,1237668496852648002,0.0530455,1.383533E-05,18.00691,16.75697,16.23967,15.91051,15.66542,0.03336722,0.005134326,0.004862609,0.005582696,0.01527992
2907195124943448064,1237671125376631002,0.2389567,4.639932E-05,20.92155,19.00255,17.52563,16.98311,16.64827,0.1460252,0.01390052,0.006744172,0.006170928,0.01258927
2918446428084791296,1237670963782353002,0.1248051,2.576289E-05,20.16528,18.37056,17.34719,16.94471,16.63014,0.06991169,0.009711374,0.006283287,0.006251755,0.01394439
2978140293762672640,1237667735582409002,0.1384808,3.121543E-05,20.58312,18.78346,17.73296,17.31774,16.93517,0.08704992,0.01004862,0.006855348,0.006614857,0.0155823
305266515781904384,1237651801773048002,0.149102,2.441852E-05,19.8627,17.67445,16.51086,16.04469,15.7115,0.1052037,0.00859644,0.005185313,0.005231419,0.01144815
386282102724782080,1237648704600867002,0.09129854,3.818949E-05,19.83707,17.92899,16.89073,16.38607,15.95341,0.08626895,0.008831238,0.006352445,0.006101504,0.01434741
594531809585293312,1237651735230415002,0.07893941,1.886348E-05,19.97479,18.09151,17.19727,16.77747,16.48263,0.06622919,0.00798461,0.005686752,0.005798873,0.01369133
1180094056244471808,1237659133284647002,0.03770944,1.126156E-05,17.50808,15.7946,14.98924,14.56869,14.23831,0.01654998,0.003010065,0.002547167,0.002562197,0.004083675
